Module: Module 1, Programme: Journalism, Enrolled Students: 0, Lecturer: Alex Brown, Room: Online
Module: Module 2, Programme: Forensic Science, Enrolled Students: 0, Lecturer: Morgan Moore, Room: Room 6
Module: Module 3, Programme: Risk Management, Enrolled Students: 0, Lecturer: Morgan Williams, Room: Room 42
Module: Module 4, Programme: Nanotechnology, Enrolled Students: 1, Lecturer: Jordan Wilson, Room: Room 36
Module: Module 5, Programme: Nanotechnology, Enrolled Students: 0, Lecturer: Taylor Johnson, Room: Room 1
Module: Module 6, Programme: Psychology, Enrolled Students: 1, Lecturer: Taylor White, Room: Room 32
Module: Module 7, Programme: Middle Eastern Studies, Enrolled Students: 0, Lecturer: Casey Harris, Room: Room 6
Module: Module 8, Programme: Graphic Design, Enrolled Students: 0, Lecturer: Quinn White, Room: Room 31
Module: Module 9, Programme: Machine Learning, Enrolled Students: 0, Lecturer: Jamie Johnson, Room: Room 1
Module: Module 10, Programme: Peace Studies, Enrolled Students: 0, Lecturer: Morgan Wilson, Room: Online
Module: Module 11, Programme: Mining Engineering, Enrolled Students: 0, Lecturer: Morgan Smith, Room: Room 37
Module: Module 12, Programme: Theology, Enrolled Students: 0, Lecturer: Riley Brown, Room: Room 35
Module: Module 13, Programme: Theology, Enrolled Students: 1, Lecturer: Alex Wilson, Room: Room 49
Module: Module 14, Programme: Physics, Enrolled Students: 0, Lecturer: Robin White, Room: Online
Module: Module 15, Programme: International Relations, Enrolled Students: 0, Lecturer: Jordan Wilson, Room: Room 4
Module: Module 16, Programme: Sports Management, Enrolled Students: 0, Lecturer: Charlie Harris, Room: Room 35
Module: Module 17, Programme: Entrepreneurship, Enrolled Students: 1, Lecturer: Jamie Moore, Room: Room 43
Module: Module 18, Programme: Peace Studies, Enrolled Students: 1, Lecturer: Casey Moore, Room: Room 14
Module: Module 19, Programme: Creative Writing, Enrolled Students: 1, Lecturer: Jordan Smith, Room: Room 49
Module: Module 20, Programme: Theology, Enrolled Students: 0, Lecturer: Casey Harris, Room: Online
Module: Module 21, Programme: European Studies, Enrolled Students: 0, Lecturer: Quinn Brown, Room: Room 22
Module: Module 22, Programme: Software Engineering, Enrolled Students: 2, Lecturer: Quinn Lee, Room: Online
